segmentation,area,image_id,bbox,category_id,id_x,filename,height,width,id_y,date_captured
"[[0, 269, 77, 269, 77, 381, 0, 381]]",8624,6,"[0, 269, 77, 112]",1,42,0_60_60_0_06572.jpg,512,640,6,20210120
"[[107, 133, 226, 133, 226, 254, 107, 254]]",14399,6,"[107, 133, 119, 121]",1,43,0_60_60_0_06572.jpg,512,640,6,20210120
"[[222, 34, 339, 34, 339, 149, 222, 149]]",13455,6,"[222, 34, 117, 115]",1,44,0_60_60_0_06572.jpg,512,640,6,20210120
"[[268, 87, 323, 87, 323, 115, 268, 115]]",1540,7,"[268, 87, 55, 28]",1,45,1_130_50_0_07202.jpg,512,640,7,20210120
"[[274, 28, 325, 28, 325, 60, 274, 60]]",1632,7,"[274, 28, 51, 32]",1,46,1_130_50_0_07202.jpg,512,640,7,20210120
"[[417, 0, 469, 0, 469, 21, 417, 21]]",1092,7,"[417, 0, 52, 21]",1,47,1_130_50_0_07202.jpg,512,640,7,20210120
"[[480, 2, 534, 2, 534, 22, 480, 22]]",1080,7,"[480, 2, 54, 20]",1,48,1_130_50_0_07202.jpg,512,640,7,20210120
"[[620, 22, 640, 22, 640, 43, 620, 43]]",420,7,"[620, 22, 20, 21]",1,49,1_130_50_0_07202.jpg,512,640,7,20210120
"[[621, 56, 640, 56, 640, 82, 621, 82]]",494,7,"[621, 56, 19, 26]",1,50,1_130_50_0_07202.jpg,512,640,7,20210120
"[[390, 242, 448, 242, 448, 267, 390, 267]]",1450,7,"[390, 242, 58, 25]",1,51,1_130_50_0_07202.jpg,512,640,7,20210120
"[[552, 414, 640, 414, 640, 473, 552, 473]]",5192,7,"[552, 414, 88, 59]",1,52,1_130_50_0_07202.jpg,512,640,7,20210120
"[[561, 136, 598, 136, 598, 188, 561, 188]]",1924,8,"[561, 136, 37, 52]",2,53,1_60_80_0_07518.jpg,512,640,8,20210120
"[[541, 115, 584, 115, 584, 175, 541, 175]]",2580,8,"[541, 115, 43, 60]",2,54,1_60_80_0_07518.jpg,512,640,8,20210120
"[[524, 108, 569, 108, 569, 170, 524, 170]]",2790,8,"[524, 108, 45, 62]",2,55,1_60_80_0_07518.jpg,512,640,8,20210120
"[[433, 85, 496, 85, 496, 153, 433, 153]]",4284,8,"[433, 85, 63, 68]",2,56,1_60_80_0_07518.jpg,512,640,8,20210120
"[[394, 68, 440, 68, 440, 126, 394, 126]]",2668,8,"[394, 68, 46, 58]",2,57,1_60_80_0_07518.jpg,512,640,8,20210120
"[[382, 64, 405, 64, 405, 105, 382, 105]]",943,8,"[382, 64, 23, 41]",2,58,1_60_80_0_07518.jpg,512,640,8,20210120
"[[303, 105, 331, 105, 331, 134, 303, 134]]",812,8,"[303, 105, 28, 29]",2,59,1_60_80_0_07518.jpg,512,640,8,20210120
"[[119, 81, 154, 81, 154, 122, 119, 122]]",1435,8,"[119, 81, 35, 41]",2,60,1_60_80_0_07518.jpg,512,640,8,20210120
"[[218, 50, 237, 50, 237, 80, 218, 80]]",570,8,"[218, 50, 19, 30]",2,61,1_60_80_0_07518.jpg,512,640,8,20210120
"[[271, 63, 300, 63, 300, 104, 271, 104]]",1189,8,"[271, 63, 29, 41]",2,62,1_60_80_0_07518.jpg,512,640,8,20210120
"[[429, 144, 491, 144, 491, 217, 429, 217]]",4526,8,"[429, 144, 62, 73]",2,63,1_60_80_0_07518.jpg,512,640,8,20210120
"[[390, 131, 447, 131, 447, 199, 390, 199]]",3876,8,"[390, 131, 57, 68]",2,64,1_60_80_0_07518.jpg,512,640,8,20210120
"[[137, 83, 183, 83, 183, 140, 137, 140]]",2622,8,"[137, 83, 46, 57]",2,65,1_60_80_0_07518.jpg,512,640,8,20210120
"[[157, 90, 211, 90, 211, 157, 157, 157]]",3618,8,"[157, 90, 54, 67]",2,66,1_60_80_0_07518.jpg,512,640,8,20210120
"[[179, 109, 227, 109, 227, 173, 179, 173]]",3072,8,"[179, 109, 48, 64]",2,67,1_60_80_0_07518.jpg,512,640,8,20210120
"[[217, 112, 233, 112, 233, 163, 217, 163]]",816,8,"[217, 112, 16, 51]",2,68,1_60_80_0_07518.jpg,512,640,8,20210120
"[[217, 112, 263, 112, 263, 171, 217, 171]]",2714,8,"[217, 112, 46, 59]",2,69,1_60_80_0_07518.jpg,512,640,8,20210120
"[[238, 115, 289, 115, 289, 178, 238, 178]]",3213,8,"[238, 115, 51, 63]",2,70,1_60_80_0_07518.jpg,512,640,8,20210120
"[[268, 134, 316, 134, 316, 192, 268, 192]]",2784,8,"[268, 134, 48, 58]",2,71,1_60_80_0_07518.jpg,512,640,8,20210120
"[[287, 145, 339, 145, 339, 209, 287, 209]]",3328,8,"[287, 145, 52, 64]",2,72,1_60_80_0_07518.jpg,512,640,8,20210120
"[[305, 156, 364, 156, 364, 230, 305, 230]]",4366,8,"[305, 156, 59, 74]",2,73,1_60_80_0_07518.jpg,512,640,8,20210120
"[[366, 204, 424, 204, 424, 272, 366, 272]]",3944,8,"[366, 204, 58, 68]",2,74,1_60_80_0_07518.jpg,512,640,8,20210120
"[[396, 215, 449, 215, 449, 278, 396, 278]]",3339,8,"[396, 215, 53, 63]",2,75,1_60_80_0_07518.jpg,512,640,8,20210120
"[[434, 227, 475, 227, 475, 280, 434, 280]]",2173,8,"[434, 227, 41, 53]",2,76,1_60_80_0_07518.jpg,512,640,8,20210120
"[[465, 228, 493, 228, 493, 288, 465, 288]]",1680,8,"[465, 228, 28, 60]",2,77,1_60_80_0_07518.jpg,512,640,8,20210120
"[[341, 264, 406, 264, 406, 329, 341, 329]]",4225,8,"[341, 264, 65, 65]",2,78,1_60_80_0_07518.jpg,512,640,8,20210120
"[[407, 280, 462, 280, 462, 350, 407, 350]]",3850,8,"[407, 280, 55, 70]",2,79,1_60_80_0_07518.jpg,512,640,8,20210120
"[[454, 301, 509, 301, 509, 372, 454, 372]]",3905,8,"[454, 301, 55, 71]",2,80,1_60_80_0_07518.jpg,512,640,8,20210120
"[[356, 325, 388, 325, 388, 382, 356, 382]]",1824,8,"[356, 325, 32, 57]",2,81,1_60_80_0_07518.jpg,512,640,8,20210120
"[[480, 388, 515, 388, 515, 449, 480, 449]]",2135,8,"[480, 388, 35, 61]",2,82,1_60_80_0_07518.jpg,512,640,8,20210120
"[[532, 393, 576, 393, 576, 465, 532, 465]]",3168,8,"[532, 393, 44, 72]",2,83,1_60_80_0_07518.jpg,512,640,8,20210120
"[[577, 448, 639, 448, 639, 501, 577, 501]]",3286,8,"[577, 448, 62, 53]",2,84,1_60_80_0_07518.jpg,512,640,8,20210120
"[[322, 195, 367, 195, 367, 252, 322, 252]]",2565,9,"[322, 195, 45, 57]",1,85,1_100_40_0_06263.jpg,512,640,9,20210119
"[[147, 172, 155, 172, 155, 190, 147, 190]]",144,9,"[147, 172, 8, 18]",0,86,1_100_40_0_06263.jpg,512,640,9,20210119
"[[137, 168, 147, 168, 147, 186, 137, 186]]",180,9,"[137, 168, 10, 18]",0,87,1_100_40_0_06263.jpg,512,640,9,20210119
"[[129, 171, 138, 171, 138, 189, 129, 189]]",162,9,"[129, 171, 9, 18]",0,88,1_100_40_0_06263.jpg,512,640,9,20210119
"[[411, 226, 431, 226, 431, 251, 411, 251]]",500,9,"[411, 226, 20, 25]",0,89,1_100_40_0_06263.jpg,512,640,9,20210119
"[[429, 369, 437, 369, 437, 385, 429, 385]]",128,9,"[429, 369, 8, 16]",0,90,1_100_40_0_06263.jpg,512,640,9,20210119
"[[426, 351, 438, 351, 438, 367, 426, 367]]",192,9,"[426, 351, 12, 16]",0,91,1_100_40_0_06263.jpg,512,640,9,20210119
"[[419, 365, 431, 365, 431, 382, 419, 382]]",204,9,"[419, 365, 12, 17]",0,92,1_100_40_0_06263.jpg,512,640,9,20210119
"[[416, 357, 425, 357, 425, 378, 416, 378]]",189,9,"[416, 357, 9, 21]",0,93,1_100_40_0_06263.jpg,512,640,9,20210119
"[[186, 102, 205, 102, 205, 124, 186, 124]]",418,10,"[186, 102, 19, 22]",0,94,1_110_50_0_02614.jpg,512,640,10,20210115
"[[184, 93, 197, 93, 197, 112, 184, 112]]",247,10,"[184, 93, 13, 19]",0,95,1_110_50_0_02614.jpg,512,640,10,20210115
"[[151, 113, 161, 113, 161, 132, 151, 132]]",190,10,"[151, 113, 10, 19]",0,96,1_110_50_0_02614.jpg,512,640,10,20210115
"[[161, 110, 175, 110, 175, 130, 161, 130]]",280,10,"[161, 110, 14, 20]",0,97,1_110_50_0_02614.jpg,512,640,10,20210115
"[[143, 254, 157, 254, 157, 273, 143, 273]]",266,10,"[143, 254, 14, 19]",0,98,1_110_50_0_02614.jpg,512,640,10,20210115
"[[126, 262, 135, 262, 135, 274, 126, 274]]",108,10,"[126, 262, 9, 12]",0,99,1_110_50_0_02614.jpg,512,640,10,20210115
"[[131, 259, 142, 259, 142, 276, 131, 276]]",187,10,"[131, 259, 11, 17]",0,100,1_110_50_0_02614.jpg,512,640,10,20210115
"[[141, 269, 148, 269, 148, 279, 141, 279]]",70,10,"[141, 269, 7, 10]",0,101,1_110_50_0_02614.jpg,512,640,10,20210115
"[[145, 271, 154, 271, 154, 282, 145, 282]]",99,10,"[145, 271, 9, 11]",0,102,1_110_50_0_02614.jpg,512,640,10,20210115
"[[124, 285, 137, 285, 137, 304, 124, 304]]",247,10,"[124, 285, 13, 19]",0,103,1_110_50_0_02614.jpg,512,640,10,20210115
"[[143, 289, 151, 289, 151, 304, 143, 304]]",120,10,"[143, 289, 8, 15]",0,104,1_110_50_0_02614.jpg,512,640,10,20210115
"[[187, 301, 197, 301, 197, 319, 187, 319]]",180,10,"[187, 301, 10, 18]",0,105,1_110_50_0_02614.jpg,512,640,10,20210115
"[[157, 298, 167, 298, 167, 320, 157, 320]]",220,10,"[157, 298, 10, 22]",0,106,1_110_50_0_02614.jpg,512,640,10,20210115
"[[123, 315, 135, 315, 135, 332, 123, 332]]",204,10,"[123, 315, 12, 17]",0,107,1_110_50_0_02614.jpg,512,640,10,20210115
"[[163, 322, 173, 322, 173, 340, 163, 340]]",180,10,"[163, 322, 10, 18]",0,108,1_110_50_0_02614.jpg,512,640,10,20210115
"[[570, 433, 588, 433, 588, 458, 570, 458]]",450,10,"[570, 433, 18, 25]",2,109,1_110_50_0_02614.jpg,512,640,10,20210115
"[[366, 17, 441, 17, 441, 125, 366, 125]]",8100,11,"[366, 17, 75, 108]",1,110,1_90_80_0_05002.jpg,512,640,11,20210118
"[[24, 22, 67, 22, 67, 41, 24, 41]]",817,11,"[24, 22, 43, 19]",2,111,1_90_80_0_05002.jpg,512,640,11,20210118
"[[24, 32, 65, 32, 65, 60, 24, 60]]",1148,11,"[24, 32, 41, 28]",2,112,1_90_80_0_05002.jpg,512,640,11,20210118
"[[34, 46, 77, 46, 77, 65, 34, 65]]",817,11,"[34, 46, 43, 19]",2,113,1_90_80_0_05002.jpg,512,640,11,20210118
"[[49, 83, 90, 83, 90, 112, 49, 112]]",1189,11,"[49, 83, 41, 29]",2,114,1_90_80_0_05002.jpg,512,640,11,20210118
"[[59, 100, 98, 100, 98, 128, 59, 128]]",1092,11,"[59, 100, 39, 28]",2,115,1_90_80_0_05002.jpg,512,640,11,20210118
"[[0, 139, 11, 139, 11, 163, 0, 163]]",264,11,"[0, 139, 11, 24]",2,116,1_90_80_0_05002.jpg,512,640,11,20210118
"[[32, 117, 55, 117, 55, 150, 32, 150]]",759,11,"[32, 117, 23, 33]",2,117,1_90_80_0_05002.jpg,512,640,11,20210118
"[[52, 165, 95, 165, 95, 194, 52, 194]]",1247,11,"[52, 165, 43, 29]",2,118,1_90_80_0_05002.jpg,512,640,11,20210118
"[[58, 186, 93, 186, 93, 209, 58, 209]]",805,11,"[58, 186, 35, 23]",2,119,1_90_80_0_05002.jpg,512,640,11,20210118
"[[61, 201, 102, 201, 102, 226, 61, 226]]",1025,11,"[61, 201, 41, 25]",2,120,1_90_80_0_05002.jpg,512,640,11,20210118
"[[65, 225, 110, 225, 110, 252, 65, 252]]",1215,11,"[65, 225, 45, 27]",2,121,1_90_80_0_05002.jpg,512,640,11,20210118
"[[74, 246, 118, 246, 118, 271, 74, 271]]",1100,11,"[74, 246, 44, 25]",2,122,1_90_80_0_05002.jpg,512,640,11,20210118
"[[78, 260, 115, 260, 115, 286, 78, 286]]",962,11,"[78, 260, 37, 26]",2,123,1_90_80_0_05002.jpg,512,640,11,20210118
"[[81, 300, 125, 300, 125, 329, 81, 329]]",1276,11,"[81, 300, 44, 29]",2,124,1_90_80_0_05002.jpg,512,640,11,20210118
"[[86, 318, 127, 318, 127, 342, 86, 342]]",984,11,"[86, 318, 41, 24]",2,125,1_90_80_0_05002.jpg,512,640,11,20210118
"[[461, 327, 549, 327, 549, 406, 461, 406]]",6952,12,"[461, 327, 88, 79]",1,126,1_120_90_0_06159.jpg,512,640,12,20210119
"[[28, 393, 36, 393, 36, 417, 28, 417]]",192,13,"[28, 393, 8, 24]",0,127,1_60_30_0_00112.jpg,512,640,13,20201217
"[[56, 153, 66, 153, 66, 175, 56, 175]]",220,13,"[56, 153, 10, 22]",0,128,1_60_30_0_00112.jpg,512,640,13,20201217
"[[83, 181, 94, 181, 94, 201, 83, 201]]",220,13,"[83, 181, 11, 20]",0,129,1_60_30_0_00112.jpg,512,640,13,20201217
"[[108, 177, 116, 177, 116, 196, 108, 196]]",152,13,"[108, 177, 8, 19]",0,130,1_60_30_0_00112.jpg,512,640,13,20201217
"[[173, 126, 182, 126, 182, 144, 173, 144]]",162,13,"[173, 126, 9, 18]",0,131,1_60_30_0_00112.jpg,512,640,13,20201217
"[[234, 81, 243, 81, 243, 101, 234, 101]]",180,13,"[234, 81, 9, 20]",0,132,1_60_30_0_00112.jpg,512,640,13,20201217
"[[226, 52, 236, 52, 236, 71, 226, 71]]",190,13,"[226, 52, 10, 19]",0,133,1_60_30_0_00112.jpg,512,640,13,20201217
"[[384, 46, 392, 46, 392, 65, 384, 65]]",152,13,"[384, 46, 8, 19]",0,134,1_60_30_0_00112.jpg,512,640,13,20201217
"[[507, 155, 516, 155, 516, 176, 507, 176]]",189,13,"[507, 155, 9, 21]",0,135,1_60_30_0_00112.jpg,512,640,13,20201217
"[[562, 214, 571, 214, 571, 235, 562, 235]]",189,13,"[562, 214, 9, 21]",0,136,1_60_30_0_00112.jpg,512,640,13,20201217
"[[592, 251, 601, 251, 601, 272, 592, 272]]",189,13,"[592, 251, 9, 21]",0,137,1_60_30_0_00112.jpg,512,640,13,20201217
"[[575, 35, 587, 35, 587, 53, 575, 53]]",216,13,"[575, 35, 12, 18]",0,138,1_60_30_0_00112.jpg,512,640,13,20201217
"[[635, 34, 640, 34, 640, 50, 635, 50]]",80,13,"[635, 34, 5, 16]",0,139,1_60_30_0_00112.jpg,512,640,13,20201217
"[[17, 205, 93, 205, 93, 308, 17, 308]]",7828,14,"[17, 205, 76, 103]",1,140,0_100_80_0_08262.jpg,512,640,14,20210121
"[[196, 160, 269, 160, 269, 271, 196, 271]]",8103,14,"[196, 160, 73, 111]",1,141,0_100_80_0_08262.jpg,512,640,14,20210121
"[[253, 297, 329, 297, 329, 401, 253, 401]]",7904,14,"[253, 297, 76, 104]",1,142,0_100_80_0_08262.jpg,512,640,14,20210121
"[[400, 351, 470, 351, 470, 458, 400, 458]]",7490,14,"[400, 351, 70, 107]",1,143,0_100_80_0_08262.jpg,512,640,14,20210121
"[[494, 385, 568, 385, 568, 491, 494, 491]]",7844,14,"[494, 385, 74, 106]",1,144,0_100_80_0_08262.jpg,512,640,14,20210121
"[[554, 50, 607, 50, 607, 123, 554, 123]]",3869,14,"[554, 50, 53, 73]",1,145,0_100_80_0_08262.jpg,512,640,14,20210121
"[[500, 16, 569, 16, 569, 118, 500, 118]]",7038,14,"[500, 16, 69, 102]",1,146,0_100_80_0_08262.jpg,512,640,14,20210121
"[[454, 0, 513, 0, 513, 98, 454, 98]]",5782,14,"[454, 0, 59, 98]",1,147,0_100_80_0_08262.jpg,512,640,14,20210121
"[[356, 0, 411, 0, 411, 77, 356, 77]]",4235,14,"[356, 0, 55, 77]",1,148,0_100_80_0_08262.jpg,512,640,14,20210121
"[[608, 445, 639, 445, 639, 509, 608, 509]]",1984,14,"[608, 445, 31, 64]",1,149,0_100_80_0_08262.jpg,512,640,14,20210121
"[[232, 40, 244, 40, 244, 68, 232, 68]]",336,15,"[232, 40, 12, 28]",0,150,0_70_50_0_01914.jpg,512,640,15,20210115
"[[238, 65, 250, 65, 250, 93, 238, 93]]",336,15,"[238, 65, 12, 28]",0,151,0_70_50_0_01914.jpg,512,640,15,20210115
"[[217, 100, 229, 100, 229, 128, 217, 128]]",336,15,"[217, 100, 12, 28]",0,152,0_70_50_0_01914.jpg,512,640,15,20210115
"[[293, 74, 307, 74, 307, 104, 293, 104]]",420,15,"[293, 74, 14, 30]",0,153,0_70_50_0_01914.jpg,512,640,15,20210115
"[[316, 109, 328, 109, 328, 137, 316, 137]]",336,15,"[316, 109, 12, 28]",0,154,0_70_50_0_01914.jpg,512,640,15,20210115
"[[335, 165, 351, 165, 351, 196, 335, 196]]",496,15,"[335, 165, 16, 31]",0,155,0_70_50_0_01914.jpg,512,640,15,20210115
"[[261, 89, 277, 89, 277, 120, 261, 120]]",496,15,"[261, 89, 16, 31]",0,156,0_70_50_0_01914.jpg,512,640,15,20210115
"[[315, 200, 334, 200, 334, 221, 315, 221]]",399,15,"[315, 200, 19, 21]",0,157,0_70_50_0_01914.jpg,512,640,15,20210115
"[[468, 29, 481, 29, 481, 54, 468, 54]]",325,15,"[468, 29, 13, 25]",0,158,0_70_50_0_01914.jpg,512,640,15,20210115
"[[519, 16, 533, 16, 533, 34, 519, 34]]",252,15,"[519, 16, 14, 18]",0,159,0_70_50_0_01914.jpg,512,640,15,20210115
"[[35, 344, 49, 344, 49, 367, 35, 367]]",322,15,"[35, 344, 14, 23]",0,160,0_70_50_0_01914.jpg,512,640,15,20210115
"[[241, 113, 251, 113, 251, 128, 241, 128]]",150,16,"[241, 113, 10, 15]",0,161,1_120_70_0_02967.jpg,512,640,16,20210115
"[[226, 122, 234, 122, 234, 139, 226, 139]]",136,16,"[226, 122, 8, 17]",0,162,1_120_70_0_02967.jpg,512,640,16,20210115
"[[236, 140, 247, 140, 247, 154, 236, 154]]",154,16,"[236, 140, 11, 14]",0,163,1_120_70_0_02967.jpg,512,640,16,20210115
"[[215, 161, 223, 161, 223, 175, 215, 175]]",112,16,"[215, 161, 8, 14]",0,164,1_120_70_0_02967.jpg,512,640,16,20210115
"[[246, 151, 255, 151, 255, 163, 246, 163]]",108,16,"[246, 151, 9, 12]",0,165,1_120_70_0_02967.jpg,512,640,16,20210115
"[[245, 159, 253, 159, 253, 172, 245, 172]]",104,16,"[245, 159, 8, 13]",0,166,1_120_70_0_02967.jpg,512,640,16,20210115
"[[266, 155, 273, 155, 273, 172, 266, 172]]",119,16,"[266, 155, 7, 17]",0,167,1_120_70_0_02967.jpg,512,640,16,20210115
"[[227, 184, 235, 184, 235, 198, 227, 198]]",112,16,"[227, 184, 8, 14]",0,168,1_120_70_0_02967.jpg,512,640,16,20210115
"[[313, 9, 327, 9, 327, 27, 313, 27]]",252,16,"[313, 9, 14, 18]",0,169,1_120_70_0_02967.jpg,512,640,16,20210115
"[[294, 0, 309, 0, 309, 9, 294, 9]]",135,16,"[294, 0, 15, 9]",0,170,1_120_70_0_02967.jpg,512,640,16,20210115
"[[464, 183, 570, 183, 570, 300, 464, 300]]",12402,17,"[464, 183, 106, 117]",1,171,0_70_70_0_06819.jpg,512,640,17,20210120
"[[265, 421, 360, 421, 360, 510, 265, 510]]",8455,17,"[265, 421, 95, 89]",1,172,0_70_70_0_06819.jpg,512,640,17,20210120
"[[416, 270, 451, 270, 451, 330, 416, 330]]",2100,18,"[416, 270, 35, 60]",1,173,0_110_50_0_08390.jpg,512,640,18,20210121
"[[400, 108, 439, 108, 439, 169, 400, 169]]",2379,18,"[400, 108, 39, 61]",1,174,0_110_50_0_08390.jpg,512,640,18,20210121
"[[418, 437, 447, 437, 447, 493, 418, 493]]",1624,18,"[418, 437, 29, 56]",1,175,0_110_50_0_08390.jpg,512,640,18,20210121
"[[396, 451, 406, 451, 406, 472, 396, 472]]",210,18,"[396, 451, 10, 21]",0,176,0_110_50_0_08390.jpg,512,640,18,20210121
"[[27, 179, 68, 179, 68, 248, 27, 248]]",2829,19,"[27, 179, 41, 69]",1,177,0_80_50_0_06967.jpg,512,640,19,20210120
"[[87, 168, 141, 168, 141, 243, 87, 243]]",4050,19,"[87, 168, 54, 75]",1,178,0_80_50_0_06967.jpg,512,640,19,20210120
"[[152, 160, 203, 160, 203, 234, 152, 234]]",3774,19,"[152, 160, 51, 74]",1,179,0_80_50_0_06967.jpg,512,640,19,20210120
"[[226, 149, 265, 149, 265, 216, 226, 216]]",2613,19,"[226, 149, 39, 67]",1,180,0_80_50_0_06967.jpg,512,640,19,20210120
"[[285, 141, 333, 141, 333, 217, 285, 217]]",3648,19,"[285, 141, 48, 76]",1,181,0_80_50_0_06967.jpg,512,640,19,20210120
"[[351, 131, 403, 131, 403, 208, 351, 208]]",4004,19,"[351, 131, 52, 77]",1,182,0_80_50_0_06967.jpg,512,640,19,20210120
"[[401, 125, 456, 125, 456, 204, 401, 204]]",4345,19,"[401, 125, 55, 79]",1,183,0_80_50_0_06967.jpg,512,640,19,20210120
